,医药生物,电子,银行,食品饮料,计算机,房地产,传媒,家用电器,电气设备,汽车
2019-02-18,33528.757388,27980.253282,66847.425992,26290.893818,16413.761274,20175.538485,13263.029227,11250.299969,16066.088797,16673.092692
2019-02-19,33346.214707,28057.882541,66689.833098,26013.793398,16591.894746,20204.860651,13283.037207,11246.528319,15998.685529,16729.241281
2019-02-20,33098.035652,28102.239831,66772.026415,25814.177074,16444.252107,20464.849694,13306.289468,11265.365241,16059.074689,16870.39775
2019-02-21,32973.007073,28076.757523,66504.986289,25694.388728,16406.275694,20248.152286,13384.061962,11186.862981,16009.011293,16936.873225
2019-02-22,33412.58619,28997.875938,67108.415195,25864.576287,17060.330457,20543.682452,13794.514276,11222.369021,16328.185033,17168.223867
2019-02-25,34871.141006,30704.646021,71438.217543,26673.215666,18319.894824,21666.079874,14572.700854,11826.888222,17117.743585,17889.860837
2019-02-26,35158.434671,30262.629886,69879.032861,26187.156383,18917.369081,21656.94784,14628.901904,11606.392767,16873.108503,17744.393905
2019-02-27,34853.554345,29521.627481,70858.886191,26544.607733,18736.879136,21920.099323,14619.374401,11584.497656,16557.136597,17644.426514
2019-02-28,35764.529344,29663.734276,70480.30811,26870.980053,18719.288417,21818.071883,14599.269266,11604.130926,16638.282206,17739.024083
2019-03-01,35902.920792,29902.548016,72271.712906,27774.311451,18864.381177,21959.997151,14699.703505,11813.387954,16830.651739,17871.856344
2019-03-04,36571.802054,30567.989189,72641.220413,27975.356769,19388.697805,22613.142867,14973.678829,12094.639264,17114.975145,18016.372487
2019-03-05,37012.832195,31625.001471,72253.075933,27958.350749,20288.111079,23178.702808,15448.57133,12339.397786,17452.085425,18198.65054
2019-03-06,37306.558708,32121.89603,72599.613864,27746.981048,20862.964019,23299.355947,15787.704844,12458.668666,17646.242588,18487.12808
2019-03-07,37195.948215,32132.607601,71680.043725,27170.358355,21602.09356,23096.997813,15996.961259,12260.831579,17672.409305,18441.697631
2019-03-08,36141.928048,31556.684775,69561.23189,26558.068117,21190.083668,21935.072022,15198.676964,11785.996643,16929.362802,17665.914376
2019-03-11,37589.766405,32771.028619,69888.325537,27382.798718,21949.534664,22461.630598,15949.911915,12079.977364,18121.892236,18176.610271
2019-03-12,37891.181245,33318.967034,70203.207328,27264.787597,22690.779615,22741.897105,16660.386711,12034.161901,18568.667096,18385.427015
2019-03-13,37601.354689,31966.878428,69905.573111,27273.379979,21409.261895,23175.846048,16193.515568,11947.833561,18192.970634,17979.59771
2019-03-14,37003.136829,31136.771525,69751.750757,27629.692135,20499.763215,22679.086456,15537.054251,11891.087291,17666.62388,17734.228571
2019-03-15,37629.086595,31402.749859,69934.018781,27995.712813,20460.489374,23345.288459,15611.751038,12282.542637,17875.314557,17947.693093
2019-03-18,39078.451599,32025.693943,71073.133095,29619.348883,20934.932573,24083.244964,15953.347449,12586.425268,18074.355069,18335.920015
2019-03-19,38878.279756,32164.923462,70785.112173,29165.01009,21303.317998,23975.801709,16105.16725,12529.516865,18136.945328,18368.754433
2019-03-20,38810.923363,31701.488231,70775.956752,29232.189554,21224.796334,24149.640916,16106.613437,12415.371361,18020.014131,18333.831272
2019-03-21,39005.345972,32069.887904,70388.109279,29039.630187,21703.147065,24232.932611,16536.634513,12397.172032,18144.287081,18396.279313
2019-03-22,39317.304134,32196.730245,70277.442713,29314.06535,21639.551521,24362.820185,16414.123344,12455.824696,18053.053344,18589.766609
2019-03-25,38611.321508,31744.081663,68610.95992,28586.324856,21489.919924,23886.663001,15930.694785,12261.346938,17949.380624,18303.203752
2019-03-26,37834.368824,30850.946173,68475.119881,28656.09831,21131.886149,23441.961014,15399.979463,12086.054701,17540.907383,17891.537688
2019-03-27,38922.491791,31026.116409,69077.636256,29501.684671,20970.286521,23692.791116,15352.620632,12330.519268,17568.064648,17923.369083
2019-03-28,38039.690518,30833.087987,68572.773822,29868.804804,20761.709026,23240.399497,15062.866406,12241.901236,17425.06864,17655.816382
2019-03-29,39720.763837,31757.51799,70397.35934,31254.186854,21545.090337,24384.351164,15533.675535,12620.331965,17753.040788,18158.403014
2019-04-01,40697.993462,33033.137799,71497.564198,31652.140199,22690.789177,25192.815919,16224.06736,13200.047448,18385.408738,18727.728753
2019-04-02,40510.254584,33093.454539,72086.968693,31283.723572,22957.950525,25318.949043,16322.957383,13076.514778,18395.721782,18885.949209
2019-04-03,40744.991571,33237.476321,72739.062935,31212.685011,23150.526874,25706.560215,16525.797342,13160.415477,18297.324737,19247.868786
2019-04-04,40813.323694,33083.90398,73937.521675,31913.496516,23067.889808,25771.288523,16500.049107,13245.004203,18338.434719,19616.90306
2019-04-08,40641.687182,32311.093348,74219.247632,32309.831287,22547.408225,25563.49669,16222.841839,13224.080703,18110.368799,19485.27576
2019-04-09,41199.456412,32555.955478,73521.13773,32887.227664,22583.538623,26228.65527,16438.757679,13645.581547,18295.530414,19713.970269
2019-04-10,41845.807472,32302.208721,73265.472037,33546.681354,22275.156326,25979.659218,16283.355291,13933.198662,18242.025155,20182.992289
2019-04-11,40690.045131,31598.0972,72766.081584,32304.175887,21777.182085,25513.251359,15992.038076,13449.145592,18120.516606,20089.852937
2019-04-12,40205.202499,31667.916291,72790.795117,32145.937501,21861.600546,25327.316512,16089.167988,13284.581243,18191.895951,19964.946937
2019-04-15,39696.8585,31481.2485,73302.3229,31887.922,21602.9869,25163.8316,15864.8302,13401.2488,18081.8513,19636.487
2019-04-16,40373.804565,32527.926707,75936.300513,32571.831276,22189.111283,25554.710893,16146.530796,13720.974442,18354.188559,19896.382093
2019-04-17,40535.651874,33206.229307,75725.412528,32865.929541,22086.989106,25290.948277,16253.179189,13720.48158,17981.66023,20882.040596
2019-04-18,40217.80541,33340.413389,75055.417854,32886.653663,21857.858272,25021.082903,16232.976321,13885.884557,18460.75432,20531.362462
2019-04-19,40461.818487,33179.713745,75540.714711,32977.764675,22131.166217,25213.349233,16363.778835,14415.055027,18609.176248,20775.800082
2019-04-22,39995.898074,32828.861466,73612.540303,32746.716199,21724.756939,24315.395306,16133.29149,13845.961284,18383.113702,20238.018717
2019-04-23,39784.135312,32846.350369,73622.916652,33449.558982,21204.194551,24413.651902,16000.282522,13149.937678,17828.710936,19839.536777
2019-04-24,39975.949168,33428.595362,73673.570536,33350.988447,22105.004473,24365.033946,15722.025331,13119.129141,18085.42634,20056.463559
2019-04-25,39193.220678,32214.359582,72897.2016,32706.829097,21128.188904,23721.439157,15076.16677,12667.243629,17600.79827,19206.210511
2019-04-26,38727.868455,31822.980602,72111.179575,32672.12985,21155.263041,23457.083939,14905.850308,12410.831116,17277.727318,18746.438933
2019-04-29,38780.602338,30788.228006,73020.932958,33150.171033,20416.3716,23253.566214,14422.090285,12531.698121,16791.868101,18305.998651
2019-04-30,38893.274744,30926.913514,73199.439669,33331.926674,20433.975505,23465.322738,14552.030839,12553.444629,16881.864599,18540.763827
2019-05-06,36485.20415,28363.272948,71425.280523,31193.718785,18618.600664,21880.197298,13485.97757,11719.365467,15697.385964,17149.469567
2019-05-07,37237.962638,28727.988845,71290.803804,31832.168446,18816.64699,22278.086093,13652.140379,12032.034496,15878.202475,17418.162401
2019-05-08,37058.196458,28596.645871,69897.557277,31594.514254,18996.489775,22096.581241,13618.554776,11900.327669,15758.53547,17355.600632
2019-05-09,36101.571397,28322.548389,68798.488014,30374.750663,18922.164162,21687.076988,13523.854256,11799.809522,15661.689604,17162.646054
2019-05-10,37275.76214,29528.239764,70177.331593,32000.4912,19936.856701,22418.671318,13961.625576,12190.04875,16139.149533,17736.537395
2019-05-13,37121.595314,28700.391949,69179.768122,31982.63296,19693.357342,22344.047008,13712.084862,12040.693424,15895.60073,17370.245287
